role,path,rows,sha256,prompt_version,model_string,run_date
captures,out/ex2_capture_block/consults.jsonl,102,b1579d5d8d1fcb53b09c60f285a1f1a52489908badd6f504b5b664fbdba42dba,2026-08-27b,,2026-09-12
controlA_congruent_face_N-CD,runs/ex2_q3_ctrlA_congruent_face_N-CD.jsonl,141,58f2a5fdd0dfac481674b065c7cd82c187e5ba164df4dd2b565f425255922727,2026-08-27b,claude_md;gpt_hi,2026-09-12
ceiling_dims_N-ABCS,runs/ex2_q3_dims_N-ABCS.jsonl,0,MISSING,,,2026-09-12
baseline_dims_N-ACD,runs/ex2_q3_dims_N-ACD.jsonl,612,4b56b8c44a5901ed43eaf8f15003cf22863c1f0a0e888ed2682ac126128f3fa3,2026-08-27b,claude_md;gemini;gpt_hi,2026-09-12
treatment_dims_N-BCD,runs/ex2_q3_dims_N-BCD.jsonl,411,c2482246cac738d6740c301bbd8393a33ed894f2e790fce25c21cbfafa894b3c,2026-08-27b,claude_md;gpt_hi,2026-09-12
baseline_dims_N-CD,runs/ex2_q3_dims_N-CD.jsonl,612,aaa13ffc0bb1ca18e8e5c250195454032e48251f5f3080c85f650b9e9853d102,2026-08-27b,claude_md;gemini;gpt_hi,2026-09-12
controlB_dims_N-CD,runs/ex2_q3_ctrlB_dims_N-CD.jsonl,136,0c6f0e997b991d5072228e00db9ea572a2f286a21612c651b566f32e0f47bd8a,2026-08-27b,claude_md;gpt_hi,2026-09-12
baseline_dims_N-D,runs/ex2_q3_dims_N-D.jsonl,614,67d9955d92dbc38361417738a91f990c968f02e7f4798576a44919d884d79eed,2026-08-27b,claude_md;gemini;gpt_hi,2026-09-12
treatment_dims_N-S,runs/ex2_q3_dims_N-S.jsonl,409,6b8a21924dfe76e786c4c2ae729b820700bffbf5dca10173420dbf401ee39b46,2026-08-27b,claude_md;gpt_hi,2026-09-12
