Family,Level,Gemini,GPT,Qwen
"Width removal","names true","+28.1 [+19.2, +37.8]","+26.3 [+16.7, +36.2]","-1.0 [-12.8, +10.7]"
"Width removal","names anonymised","+22.9 [+14.7, +32.3]","+21.1 [+12.5, +30.4]","+3.1 [-9.2, +15.3]"
"Width removal","names swapped","+25.0 [+16.5, +34.5]","+16.8 [+7.6, +26.4]","-2.1 [-14.2, +10.1]"
"Identity removed","width present","+0.0 [-3.8, +3.8]","-1.0 [-6.3, +3.9]","+1.0 [-10.9, +13.0]"
"Identity removed","width absent","-5.2 [-17.3, +7.1]","-6.3 [-18.4, +6.0]","+5.2 [-7.0, +17.2]"
"Identity swapped","width present","+0.0 [-3.8, +3.8]","+2.1 [-3.7, +8.4]","+3.1 [-9.0, +15.1]"
"Identity swapped","width absent","-3.1 [-15.4, +9.3]","-7.4 [-19.4, +4.9]","+2.1 [-9.8, +13.9]"
"Rules removed","width present","+0.0 [-3.8, +3.8]","+3.2 [-2.8, +9.9]","+4.2 [-8.1, +16.2]"
