condition,model,contrast,n_positions,mean_pts,paired_lo,paired_hi,reading
dims,gpt_hi,N-D_minus_N-C,32,6.2,-8.2,20.7,spans zero
dims,gemini,N-D_minus_N-C,32,0.0,0.0,0.0,spans zero
dims,claude_md,N-D_minus_N-C,32,1.6,-15.2,18.3,spans zero
conflict_face,gpt_hi,N-D_minus_N-C,32,26.6,12.7,40.5,positive
conflict_face,gemini,N-D_minus_N-C,32,0.0,0.0,0.0,spans zero
conflict_face,claude_md,N-D_minus_N-C,32,60.9,42.9,78.9,positive
dims,gpt_hi,N-D_minus_N-order,32,4.7,-11.4,20.8,spans zero
dims,gemini,N-D_minus_N-order,32,54.7,41.2,68.1,positive
dims,claude_md,N-D_minus_N-order,32,-7.8,-35.3,19.7,spans zero
conflict_face,gpt_hi,N-D_minus_N-order,32,23.4,7.0,39.9,positive
conflict_face,gemini,N-D_minus_N-order,32,0.0,0.0,0.0,spans zero
conflict_face,claude_md,N-D_minus_N-order,32,-7.8,-32.7,17.1,spans zero
